31.3,0
32.6,0.070422535
33.9,0
35.2,0
36.5,0
37.8,0
39.1,0
40.4,0.281690141
41.7,0.492957746
43,0.915492958
44.3,1.197183099
45.6,1.61971831
46.9,2.253521127
48.2,3.098591549
49.5,4.014084507
50.8,4.647887324
52.1,5.281690141
53.4,6.197183099
54.7,7.253521127
56,8.23943662
57.3,9.436619718
58.6,10.35211268
59.9,11.4084507
61.2,13.09859155
62.5,14.57746479
63.8,15.77464789
65.1,17.18309859
66.4,18.5915493
67.7,19.57746479
69,20.63380282
70.3,21.90140845
71.6,23.16901408
72.9,24.08450704
74.2,24.85915493
75.5,25.35211268
76.8,25.63380282
78.1,25.63380282
79.4,25.49295775
80.7,24.92957746
82,23.5915493
83.3,22.6056338
84.6,21.33802817
85.9,20.42253521
87.2,19.36619718
88.5,17.95774648
89.8,16.90140845
91.1,15.49295775
92.4,14.36619718
93.7,12.95774648
95,11.54929577
96.3,10
97.6,8.521126761
98.9,6.901408451
100.2,5.774647887
101.5,4.85915493
102.8,3.521126761
104.1,2.957746479
105.4,2.323943662
106.7,1.76056338
108,1.056338028
109.3,0.845070423
110.6,0.422535211
111.9,0.422535211
113.2,0.352112676
114.5,0.352112676
115.8,0.211267606
117.1,0.281690141
118.4,0.281690141
119.7,0.281690141
121,0.14084507
122.3,-0.070422535
123.6,-0.070422535
124.9,0
126.2,0
127.5,0
128.8,0.14084507
130.1,0
131.4,0
132.7,0
134,-0.211267606
135.3,0.070422535
136.6,0.070422535
137.9,0
